Plant,Material Number,Material Description
4332,67335BZ200,"REINFORCEMENT, FR DOOR LOCK, RH"
4331,67335KK010,"REINFORCEMENT, FR DOOR LOCK, RH"
4332,67336BZ190,"REINFORCEMENT, FR DOOR LOCK, LH"
4331,67336KK010,"REINFORCEMENT, FR DOOR LOCK, LH"
4332,67337BZ100,"REINFORCEMENT, RR DOOR LOCK, RH"
4331,67337KK030,"REINFORCEMENT, RR DOOR LOCK, RH"
4332,67338BZ100,"REINFORCEMENT, RR DOOR LOCK, LH"
4350,896670K090,BRACKET ENGINE CTRL1
4350,896680K100,BRACKET ENGINE CTRL2
4331,67338KK030,"REINFORCEMENT, RR DOOR LOCK, LH"
4332,67349BZ130,"REINFORCEMENT, RR DOOR UPR FRAME, RH"
4350,67349BZ160,"REINFORCEMENT, RR DOOR UPR FRAME, RH"
4332,67349BZ160,"REINFORCEMENT, RR DOOR UPR FRAME, RH"
4332,67359BZ130,"REINFORCEMENT, RR DOOR UPR FRAME, LH"
4350,67359BZ160,"REINFORCEMENT, RR DOOR UPR FRAME, LH"
4332,67359BZ160,"REINFORCEMENT, RR DOOR UPR FRAME, LH"
4332,67391BZ200,"REINFORCEMENT, BACK DOOR LOCK"
4350,67391BZ220,"REINFORCEMENT, BACK DOOR LOCK"
4332,67391BZ220,"REINFORCEMENT, BACK DOOR LOCK"
4331,67391KK010,"REINFORCEMENT, BACK DOOR LOCK"
4350,53298KK010,"SEAL, RADIATOR SIDE DEFLECTOR, RH"
4331,53298KK010,"SEAL, RADIATOR SIDE DEFLECTOR, RH"
4350,53299KK010,"SEAL, RADIATOR SIDE DEFLECTOR, LH"
4331,53299KK010,"SEAL, RADIATOR SIDE DEFLECTOR, LH"
4350,67401BZ190,"FRAME SUB-ASSY, FR DOOR, FR LWR RH"
4332,67401BZ190,"FRAME SUB-ASSY, FR DOOR, FR LWR RH"
4332,113630Y020,"COVER, FLYWHEEL HOUSING SIDE"
4332,174510M032,"GASKET, EXHAUST PIPE"
4332,238260Y140,"HOSE, FUEL VAPOR FEED, NO.1"
4332,238270Y140,"HOSE, FUEL VAPOR FEED, NO.2"
4332,335040D640,"KNOB SUB-ASSY, SHIFT LEVER"
4332,434100D913,"SHAFT ASSY, FR DRIVE SET"
4332,435120D100,"DISC, FR"
4332,447830D020,"CLAMP, VACUUM HOSE"
4332,447830D030,"CLAMP, VACUUM HOSE"
4332,447850D020,"GASKET, BRAKE BOOSTER"
4332,450250D241,"COVER SUB-ASSY, STEERING COLUMN HOLE"
